,candidate,count,image_file,image_url,news_source,news_source_url,present
392,hillary_clinton,392,392_hillary_clinton.jpg,https://cdn.pastemagazine.com/www/articles/ClintonBirtherLead.jpg,Paste Magazine,https://www.pastemagazine.com/tag/hillary+clinton,1
393,hillary_clinton,393,393_hillary_clinton.jpg,https://i.guim.co.uk/img/media/a871564e64896d74aa8192bea4986567d9ca8abc/0_117_3500_2100/master/3500.jpg?w\u003d300\u0026q\u003d55\u0026auto\u003dformat\u0026usm\u003d12\u0026fit\u003dmax\u0026s\u003df5fdc761fec940f2bf027d3a7c9ba6bd,The Guardian,https://www.theguardian.com/us-news/2016/sep/23/hillary-clinton-national-security-plan-isis-baghdadi,1
395,hillary_clinton,395,395_hillary_clinton.jpg,http://a.abcnews.com/images/Politics/ABC_muir_clinton_19_jt_160905_12x5_1600.jpg,ABC News - Go.com,http://abcnews.go.com/Politics/exclusive-hillary-clinton-husband-bill-resign-foundation-post/story?id\u003d41878492,1
396,hillary_clinton,396,396_hillary_clinton.jpg,http://www.newyorker.com/wp-content/uploads/2016/09/Davidson-Debate-Questions-for-Hillary-01-1200.jpg,The New Yorker,http://www.newyorker.com/news/amy-davidson/twelve-debate-questions-that-hillary-clinton-should-be-ready-fo,1
400,hillary_clinton,400,400_hillary_clinton.jpg,http://i.huffpost.com/gen/4764050/images/n-CLINTON-628x314.jpg,The Huffington Po,http://www.huffingtonpost.com/james-zogby/why-i-support-hillary-cli_b_12498722.html,1
403,hillary_clinton,403,403_hillary_clinton.jpg,http://www.sltrib.com/csp/mediapool/sites/dt.common.streams.StreamServer.cls?STREAMOID\u003dkTjtVCipKRklgrWVo1KWWc$daE2N3K4ZzOUsqbU5sYvJgxQonv032wpAb1fWty9tWCsjLu883Ygn4B49Lvm9bPe2QeMKQdVeZmXF$9l$4uCZ8QDXhaHEp3rvzXRJFdy0KqPHLoMevcTLo3h8xh70Y6N_U_CryOsw6FTOdKL_jpQ-\u0026CONTENTTYPE\u003dimage/jpeg,The Salt Lake Tribune,http://www.sltrib.com/opinion/4455498-155/editorial-in-the-end-hillary-clinton,1
404,hillary_clinton,404,404_hillary_clinton.jpg,http://bloximages.chicago2.vip.townnews.com/host.madison.com/content/tncms/assets/v3/editorial/5/f6/5f6376ac-4721-54d4-9341-1fe7ffc6533f/57ffe5a8a92ae.image.jpg?resize\u003d1200%2C893,Madison.com,http://host.madison.com/wsj/opinion/editorial/our-endorsement-hillary-clinton-america-must-get-this-right/article_b526fe64-c2ca-5e3d-807a-0ef4ae23a4d5.html,1
405,hillary_clinton,405,405_hillary_clinton.jpg,http://i1.wp.com/www.nwpc.org/wp-content/uploads/2016/02/Screen-Shot-2016-02-01-at-3.52.34-PM.png?fit\u003d865%2C391,National Women\u0027s Political Caucu,http://www.nwpc.org/reasons-why-hillary-clinton-should-be-our-next-president/,1
406,hillary_clinton,406,406_hillary_clinton.jpg,https://pmcwwd.files.wordpress.com/2016/07/ap_16211094144719.jpg?w\u003d640\u0026h\u003d415\u0026crop\u003d1,WWD.com,http://wwd.com/fashion-news/fashion-scoops/hillary-clinton-historic-dnc-acceptance-speech-10498558/,1
410,hillary_clinton,410,410_hillary_clinton.jpg,http://static2.politico.com/dims4/default/0bebafc/2147483647/resize/1160x%3E/quality/90/?url\u003dhttp%3A%2F%2Fstatic.politico.com%2F1f%2F6d%2F689414274169b4e3e73d6af021ac%2F08-hillary-clinton-33-gty-1160.jpg,Politico,http://www.politico.com/story/2016/09/is-hillary-clinton-losing-227774,1
411,hillary_clinton,411,411_hillary_clinton.jpg,http://15130-presscdn-0-89.pagely.netdna-cdn.com/wp-content/uploads/2016/10/2016-09-29T192815Z_2_LYNXNPEC8S1J3_RTROPTP_3_USA-ELECTION-CLINTON.jpg,Politicus USA,http://www.politicususa.com/tag/hillary-clinton,1
413,hillary_clinton,413,413_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/10/17/Clinton_c0-293-3748-2478_s885x516.jpg?08968f57630ef02876dd282abdb693819eb88124,Washington Time,http://www.washingtontimes.com/news/2016/oct/17/paul-ryan-says-state-dept-involved-cover-help-hill/,1
414,hillary_clinton,414,414_hillary_clinton.jpg,http://media.nbcphiladelphia.com/images/1200*675/Hillary+Clinton+Temple+University+Wave.jpg?ak\u003dbc,NBC10.com,http://www.nbcphiladelphia.com/news/local/Hillary-Clinton-Millennial-Voters-Campaign-Event-Philadelphia-393918951.html,1
418,hillary_clinton,418,418_hillary_clinton.jpg,http://assets.nydailynews.com/polopoly_fs/1.2805845.1474834622!/img/httpImage/image.jpg_gen/derivatives/article_750/campaign-2016-clinton.jpg,New York Daily New,http://www.nydailynews.com/news/politics/clinton-debate-podium-larger-trump-report-article-1.2805846,1
420,hillary_clinton,420,420_hillary_clinton.jpg,http://www.belfasttelegraph.co.uk/incoming/article35145955.ece/ALTERNATES/h342/Clinton-Trump-034.jpg,Belfast Telegraph,http://www.belfasttelegraph.co.uk/opinion/news-analysis/hillary-clinton-could-start-world-war-3-heres-how-35160599.html,1
422,hillary_clinton,422,422_hillary_clinton.jpg,http://www.newyorker.com/wp-content/uploads/2016/09/Roberson-Hillary-Clinton-Other-Rumored-Medical-Problems-1200.jpg,The New Yorker,http://www.newyorker.com/humor/daily-shouts/other-rumored-medical-problems-that-i-hillary-clinton-would-like-to-address,1
423,hillary_clinton,423,423_hillary_clinton.jpg,https://static01.nyt.com/images/2016/09/25/opinion/25ENDORSE-WEB-BW/25ENDORSE-WEB-BW-articleLarge-v5.jpg,The New York Time,https://www.nytimes.com/2016/09/25/opinion/sunday/hillary-clinton-for-president.html,1
424,hillary_clinton,424,424_hillary_clinton.jpg,http://www.motherjones.com/files/blog_hillary_clinton_speech_2.jpg,Mother Jone,http://www.motherjones.com/kevin-drum/2016/10/which-i-take-second-look-hillary-clintons-paid-speeches,1
428,hillary_clinton,428,428_hillary_clinton.jpg,https://img.washingtonpost.com/wp-apps/imrs.php?src\u003dhttps://img.washingtonpost.com/rf/image_960w/2010-2019/WashingtonPost/2015/10/15/National-Politics/Images/492826454.jpg\u0026w\u003d480,Washington Po,https://www.washingtonpost.com/news/the-fix/wp/2016/10/18/can-hillary-clinton-actually-win-texas/,1
436,hillary_clinton,436,436_hillary_clinton.jpg,http://freebeacon.com/wp-content/uploads/2016/10/Hillary-Clinton-13.jpg,Washington Free Beacon,http://freebeacon.com/politics/former-clinton-spokesperson-hired-buzzfeed/,1
437,hillary_clinton,437,437_hillary_clinton.jpg,http://16004-presscdn-0-50.pagely.netdna-cdn.com/wp-content/uploads/Hillary-Clinton-Press-Conference-09092016-575x327.jpg,The Gateway Pundi,http://www.thegatewaypundit.com/2016/09/clinton-aides-attack-threaten-reporter-saying-hillary-looked-low-energy-friday-press-conference/,1
440,hillary_clinton,440,440_hillary_clinton.jpg,https://i1.wp.com/heatst.com/wp-content/uploads/2016/08/hillary-clinton4.jpg?crop\u003d97px%2C0px%2C1840px%2C1228px\u0026resize\u003d337%2C225\u0026quality\u003d80\u0026strip\u003dall\u0026ssl\u003d1,Heat Stree,https://heatst.com/politics/wikileaks-clinton-energizer-mistress/,1
441,hillary_clinton,441,441_hillary_clinton.jpg,http://s2.r29static.com//bin/entry/ed3/x,Refinery29,http://www.refinery29.com/2016/07/118352/hillary-clinton-white-pantsuit-dnc,1
442,hillary_clinton,442,442_hillary_clinton.jpg,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/hillary-clinton-speech-1474640124.jpg?crop\u003d1.00xw:0.753xh;0,Cosmopolitan,http://www.cosmopolitan.com/politics/a3700858/hillary-clinton-reservations-criticism/,1
443,hillary_clinton,443,443_hillary_clinton.jpg,https://img.washingtonpost.com/wp-apps/imrs.php?src\u003dhttps://img.washingtonpost.com/rf/image_908w/2010-2019/WashingtonPost/2016/02/05/National-Politics/Images/508468980.jpg\u0026w\u003d480,Washington Po,https://www.washingtonpost.com/news/the-fix/wp/2016/02/05/hillary-clinton-just-suggested-shes-not-establishment-come-on/,1
445,hillary_clinton,445,445_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/18/Campaign_2016_Clinton.JPEG-6b1fe_c0-0-5311-3096_s885x516.jpg?9a3417e6ad0ed3d1a23601ce5d8fdbdfc63c682d,Washington Time,http://www.washingtontimes.com/news/2016/sep/18/hillary-clintons-wal-mart-ties-raising-liberals-ir/,1
446,hillary_clinton,446,446_hillary_clinton.jpg,http://static3.businessinsider.com/image/57f6cad55124c9660c368484-800/clinton-foundation-warns-donors-about-targeted-phishing-attempts.jpg,Business Insider,http://www.businessinsider.com/fbi-re-opening-investigation-into-hillary-private-e-mail-server-2016-10,1
448,hillary_clinton,448,448_hillary_clinton.jpg,http://media.washtimes.com.s3.amazonaws.com/media/image/2016/09/08/HillaryClinton.jpg,Washington Time,http://www.washingtontimes.com/news/2016/sep/8/hillary-clintons-speech-mandatory-viewing-at-priso/,1
