candidate,count,image_file,image_url,news_source,news_source_url
hillary_clinton,79,79_hillary_clinton.jpg,https://s3.amazonaws.com/assets.forward.com/images/cropped/hillaryclinton-0912-1473662547.jpg,The Forward,http://forward.com/opinion/politics/349650/did-hillary-forget-watergate-its-not-pneumonia-that-gets-you-its-the-cover/
hillary_clinton,80,80_hillary_clinton.jpg,http://cdn.thedailybeast.com/content/dailybeast/articles/2016/09/08/hillary-clinton-did-not-wear-an-earpiece-here-are-close-up-pictures-to-prove-it/jcr:content/image.crop.800.500.jpg/49113175.cached.jpg,The Daily Bea,http://www.thedailybeast.com/articles/2016/09/08/hillary-clinton-did-not-wear-an-earpiece-here-are-close-up-pictures-to-prove-it.html
hillary_clinton,81,81_hillary_clinton.jpg,http://media.breitbart.com/media/2016/09/Clinton-Trump.png,Breitbar,http://www.breitbart.com/2016-presidential-race/2016/10/15/hillary-clinton-in-leaked-2013-speech-i-want-to-see-more-successful-business-people-run-for-office-because-they-cant-be-bought/
hillary_clinton,82,82_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160910191310-hillary-clinton-chris-cuomo-sotu-intv-1-00003608-large-169.jpg,CNN.com,http://www.cnn.com/2016/09/11/politics/hillary-clinton-september-11/
hillary_clinton,83,83_hillary_clinton.jpg,https://pixel.nymag.com/imgs/fashion/daily/2016/03/16/16-hillary-clinton.w710.h473.2x.jpg,New York Magazine,http://nymag.com/daily/intelligencer/2016/11/activists-urge-hillary-clinton-to-challenge-election-results.html
hillary_clinton,84,84_hillary_clinton.jpg,http://i.telegraph.co.uk/multimedia/archive/03008/hillary-clinton_3008594b.jpg,The Telegraph,http://www.telegraph.co.uk/news/worldnews/hillary-clinton/11404271/Boris-Johnson-once-compared-Hillary-Clinton-to-a-sadistic-nurse-in-a-mental-hospital.html
hillary_clinton,85,85_hillary_clinton.jpg,https://i.guim.co.uk/img/media/b270d8267652790f38817120049506857c476b7c/0_234_3500_2101/master/3500.jpg?w\u003d300\u0026q\u003d55\u0026auto\u003dformat\u0026usm\u003d12\u0026fit\u003dmax\u0026s\u003d8978165fd1911a428ab10f2963ae405b,The Guardian,https://www.theguardian.com/us-news/2016/oct/28/fbi-reopens-hillary-clinton-emails-investigation
hillary_clinton,86,86_hillary_clinton.jpg,http://blogs-images.forbes.com/robertwood/files/2016/05/Hillary-Clinton-and-Donald-Trump-Face-Off-AP-Photos-640x480.jpg?width\u003d960,Forbe,http://www.forbes.com/sites/robertwood/2016/08/30/what-donald-trumps-tax-returns-wont-tell-us-but-hillary-clintons-do/
hillary_clinton,87,87_hillary_clinton.jpg,http://static2.blastingnews.com/media/photogallery/2016/10/28/290x290/b_290x290/hillary-clinton-set-to-unveil-campaign-finance-proposal-politico-politico-com_946625.jpg,US.Blasting.New,http://us.blastingnews.com/news/2016/10/fbi-re-investigating-hillary-clinton-emails-raises-serious-questions-of-partisan-attack-001217017.html
hillary_clinton,88,88_hillary_clinton.jpg,http://static5.businessinsider.com/image/57eee97e11c8e71b008b4b4f-480/hillary-clinton.jpg,Business Insider,http://www.businessinsider.com/fox-news-poll-hillary-clinton-won-debate-leads-trump-2016-9
hillary_clinton,89,89_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/women/2016/10/17/111098647-clintonface-FEATURES-large_trans_NvBQzQNjv4BqDhV2K8uQsCbKQWf5axWl7ikz1ktAVp0Zd4rReKAdrQI.jpg,The Telegraph,http://www.telegraph.co.uk/women/life/face-analysis-how-hillary-clintons-resting-bh-face-could-be-sway/
hillary_clinton,90,90_hillary_clinton.jpg,https://i2.wp.com/moneynation.com/wp-content/uploads/2015/05/hillary-clinton-net-worth-facts.png,Money Nation,http://moneynation.com/hillary-clinton-net-worth/
hillary_clinton,91,91_hillary_clinton.jpg,https://www.minnpost.com/sites/default/files/imagecache/article_detail/images/articles/HillaryClintonSept2016Debate640.jpg,MinnPo,https://www.minnpost.com/politics-policy/2016/09/i-watched-first-presidential-debate-three-times-hillary-clinton-won
hillary_clinton,92,92_hillary_clinton.jpg,https://peopledotcom.files.wordpress.com/2016/08/hillary-clinton-d-1024.jpg?w\u003d1024,People,http://people.com/celebrity/hillary-clinton-blasts-donald-trump-we-were-not-friends/
hillary_clinton,93,93_hillary_clinton.jpg,http://pixel.nymag.com/imgs/fashion/daily/2016/09/29/29-hillary-clinton-diet.w245.h368.2x.jpg,New York Magazine,http://nymag.com/thecut/2016/09/i-tried-hillary-clintons-diet-and-now-i-sympathize-with-her.html
hillary_clinton,94,94_hillary_clinton.jpg,http://hbz.h-cdn.co/assets/16/39/hbz-hillary-clinton-0926-getty.jpg,Harper\u0027s Bazaar,http://www.harpersbazaar.com/celebrity/red-carpet-dresses/news/g6036/hillary-clinton-campaign-fashion/
hillary_clinton,95,95_hillary_clinton.jpg,http://pixel.nymag.com/imgs/daily/intelligencer/2016/09/22/22-hillary-clinton-george-bush.w710.h473.jpg,New York Magazine,http://nymag.com/daily/intelligencer/2016/09/the-abnormalization-of-hillary-clinton.html
