,candidate,count,image_file,image_url,news_source,news_source_url,present
0,donald_trump,0,0_donald_trump.jpg,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/09/27/0/0/694940094001_5142667243001_092716-ff-donaldtrump-1280.jpg?ve\u003d1,Fox New,http://www.foxnews.com/entertainment/2016/09/27/donald-trump-miss-universe-alicia-machado-was-absolute-worst.html,1
1,donald_trump,1,1_donald_trump.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Donald_Trump_August_19%2C_2015_(cropped).jpg,Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump_and_Billy_Bush_recording,1
2,donald_trump,2,2_donald_trump.jpg,http://static2.businessinsider.com/image/5801737cc524021d008b4901-480/donald-trump.jpg,Business Insider,http://www.businessinsider.com/donald-trump-victim-political-smear-campaign-us-history-2016-10,1
3,donald_trump,3,3_donald_trump.jpg,https://fortunedotcom.files.wordpress.com/2016/10/donald-trump-drop-out.jpg,Fortune,http://fortune.com/2016/10/08/donald-trump-republicans-drop-out/,1
4,donald_trump,4,4_donald_trump.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/1BD1/production/_91512170_hi035684710-1.jpg,BBC.com,http://www.bbc.com/news/business-37550378,1
6,donald_trump,6,6_donald_trump.jpg,http://www.thewrap.com/wp-content/uploads/2016/10/DonaldTrump-4.jpg,TheWrap,http://www.thewrap.com/donald-trump-election-day-campaign-conspiracy-theory-polls-phony/,1
7,donald_trump,7,7_donald_trump.jpg,http://a.abcnews.com/images/Politics/GTY_donald_trump_jef_161010_12x5_1600.jpg,ABC News - Go.com,http://abcnews.go.com/Politics/women-claim-donald-trump-touched-inappropriately-new-york-times/story?id\u003d42766847,1
9,donald_trump,9,9_donald_trump.jpg,http://img.wennermedia.com/social/donald-trump-debate-abortion-roe-wade-abolish-1aec635b-6dcb-42e0-801c-d369538ad5b5.jpg,Rolling Stone,http://www.rollingstone.com/politics/features/donald-trumps-abortion-policies-would-kill-women-w445735,1
10,donald_trump,10,10_donald_trump.jpg,http://files.rightwingwatch.org/uploads/donaldtrump.jpg,Right Wing Watch,http://www.rightwingwatch.org/people/donald-trump/,1
11,donald_trump,11,11_donald_trump.jpg,https://www.biography.com/.image/c_fit,Cargo,http://cargocollective.com/mix2/Donald-Trump,1
12,donald_trump,12,12_donald_trump.jpg,https://fortunedotcom.files.wordpress.com/2016/10/donald-trump-las-vegas-2016-presidential-debate-ap_16294092686677.jpg,Fortune,http://fortune.com/2016/10/21/donald-trump-losing-presidential-election/,1
14,donald_trump,14,14_donald_trump.jpg,http://media.breitbart.com/media/2016/10/Donald-Trump-points-at-debate-Associated-Press-640x481.jpg,Breitbar,http://www.breitbart.com/big-government/2016/10/19/donald-trump-wins-third-debate-finally-fair-fight/,1
15,donald_trump,15,15_donald_trump.jpg,http://media.salon.com/2016/10/donald_trump290.jpg,Salon,http://www.salon.com/2016/10/07/ahead-of-second-debate-donald-trump-gets-whiny-complaints-of-hillary-clinton-resting-and-trumps-microphone-volume-oscillating-are-growing-louder/,1
16,donald_trump,16,16_donald_trump.jpg,http://esq.h-cdn.co/assets/16/10/1600x900/hd-aspect-1457631858-trump-rally.jpg,Esquire,http://www.esquire.com/news-politics/a37230/donald-trump-esquire-cover-story-august-2004/,1
17,donald_trump,17,17_donald_trump.jpg,http://www.thewrap.com/wp-content/uploads/2016/10/Donald-Trump.png,TheWrap,http://www.thewrap.com/dump-trump-5-stars-who-have-dumped-donald-trump/,1
18,donald_trump,18,18_donald_trump.jpg,https://static01.nyt.com/images/2016/10/25/us/25TRUMPTAPES1/25TRUMPTAPES1-superJumbo.jpg,The New York Time,https://www.nytimes.com/2016/10/26/us/politics/donald-trump-interviews.html,1
19,donald_trump,19,19_donald_trump.jpg,http://www.slate.com/content/dam/slate/articles/news_and_politics/politics/2016/10/161019_POL_Trump-Refusal.jpg.CROP.promo-xlarge2.jpg,Slate,http://www.slate.com/articles/news_and_politics/politics/2016/10/donald_trump_vs_american_democracy.html,1
20,donald_trump,20,20_donald_trump.jpg,http://pixel.nymag.com/imgs/fashion/daily/2016/10/12/12-donald-trump.w710.h473.jpg,New York Magazine,http://nymag.com/thecut/2016/10/all-the-women-accusing-trump-of-rape-sexual-assault.html,1
21,donald_trump,21,21_donald_trump.jpg,http://www.newyorker.com/wp-content/uploads/2016/10/Davidson-Trump-Clintons-Marriage-1200.jpg,The New Yorker,http://www.newyorker.com/news/amy-davidson/donald-trump-and-the-clintons-marriage,1
