Unnamed: 0,candidate,count,image_file,image_url,news_source,news_source_url,present,image_hash
497,donald_trump,497,497_donald_trump.jpg,https://cdn3.vox-cdn.com/uploads/chorus_asset/file/6448765/trumpeatingAP.0.jpg,Eater,http://www.eater.com/2016/5/6/11606514/donald-trump-eating-tiny-hands,1,24cdcd0e4ecacc0c
498,donald_trump,498,498_donald_trump.jpg,http://www.aljazeera.com/mritems/imagecache/mbdxxlarge/mritems/Images/2016/10/2/acf46c8c639d4eb79f830f214e37de78_18.jpg,Al Jazeera,http://www.aljazeera.com/indepth/opinion/2016/10/donald-trump-dummies-161002090830970.html,1,4c2c2c2d0f8e4e4d
500,donald_trump,500,500_donald_trump.jpg,http://cdn-image.foodandwine.com/sites/default/files/styles/rd_fwrd_blog_main_image/public/donald-trump-food-policy-ft-blog0916.jpg?itok\u003ducGW7fBX,Food \u0026 Wine,http://www.foodandwine.com/blogs/what-donald-trump-presidency-means-food-policy,1,7a2a6b6e6c6de5d7
508,donald_trump,508,508_donald_trump.jpg,https://thumbs.mic.com/NGMxNmQ0ZWQwNCMvSUZ1NExyd3YxUG95NzZSMlhuNENqTHhCcFJVPS83N3gyOTozNDAxeDE3NTkvMTI4MHg2MjAvZmlsdGVyczpxdWFsaXR5KDc1KS9odHRwczovL3MzLmFtYXpvbmF3cy5jb20vcG9saWN5bWljLWltYWdlcy9ma2ljYThmYW02eTFjaWNoMWZidDQyandpbjdyeHl0cndiNGdrZm53Zzdvb2Z5aDF0NW1xeW1nd3B4eWJreWZ2LmpwZw.jpg,Mic,https://mic.com/articles/156669/how-many-women-have-accused-donald-trump-of-rape-or-sexual-assault,1,96969e9e9c9c5c5c
509,donald_trump,509,509_donald_trump.jpg,http://static2.politico.com/dims4/default/ae21976/2147483647/resize/1160x%3E/quality/90/?url\u003dhttp%3A%2F%2Fstatic.politico.com%2F60%2F5a%2Fcdee79a34f30ac5cf97c1a82be61%2F161104-donald-trump-ap-1160.jpg,Politico,http://www.politico.com/story/2016/11/donald-trump-rape-lawsuit-dropped-230770,1,3d3c3c961f1f1b1b
512,donald_trump,512,512_donald_trump.jpg,http://static2.businessinsider.com/image/57e9dcaeb0ef97eb018b85b7-480/donald-trump-debate.jpg,Business Insider,http://www.businessinsider.com/donald-trump-stop-and-frisk-debate-2016-9,1,0f0f4b48c88a7068
516,donald_trump,516,516_donald_trump.jpg,https://cdn0.vox-cdn.com/thumbor/moVYDEm93vKK2yKfzLuTPI_qudA\u003d/800x0/filters:no_upscale()/cdn0.vox-cdn.com/uploads/chorus_asset/file/6447673/AP_905522493182.0.jpg,Eater,http://www.eater.com/2016/5/6/11606514/donald-trump-eating-tiny-hands,1,5231393b3b2ce868
519,donald_trump,519,519_donald_trump.jpg,http://www.reviewjournal.com/sites/default/files/field/media/web1_1013-trump_7234013.jpg,Las Vegas Review-Journal,http://www.reviewjournal.com/opinion/editorials/editorial-donald-trump-president,1,8985313535b4b626
523,donald_trump,523,523_donald_trump.jpg,http://static2.businessinsider.com/image/57e01c3c077dcc62238b6829-480/donald-trump.jpg,Business Insider,http://www.businessinsider.com/most-controversial-people-on-wikipedia-2016-9,1,06165a37f0949899
525,donald_trump,525,525_donald_trump.jpg,https://peopledotcom.files.wordpress.com/2016/08/donald-trump-e-1024.jpg?w\u003d1024\u0026h\u003d768,People,http://people.com/celebrity/donald-trump-says-hes-much-nicer-than-people-think/,1,2c0c1f1bcbc848b1
526,donald_trump,526,526_donald_trump.jpg,https://espnfivethirtyeight.files.wordpress.com/2016/07/ap_16186740129472.jpg?quality\u003d90\u0026strip\u003dall\u0026w\u003d575\u0026ssl\u003d1,FiveThirtyEigh,https://fivethirtyeight.com/features/trump-may-become-the-first-republican-in-60-years-to-lose-white-college-graduates/,1,d3d393f3339485c1
528,donald_trump,528,528_donald_trump.jpg,https://media4.s-nbcnews.com/j/newscms/2016_41/1750406/161013-trump-detroit-church-1005p_215c286ca6dd1f251a23a7ed4f52b7b9.nbcnews-ux-2880-1000.jpg,NBC New,http://www.nbcnews.com/politics/2016-election/what-s-behind-evangelical-support-donald-trump-less-you-think-n666146,1,cdcded4d4dcd98ba
536,donald_trump,536,536_donald_trump.jpg,http://i.huffpost.com/gen/4687612/images/n-DONALD-TRUMP-628x314.jpg,The Huffington Po,http://www.huffingtonpost.com/marty-rudoy/think-trump-will-close-th_b_12299572.html,1,968c49496deccd59
542,donald_trump,542,542_donald_trump.jpg,http://media.npr.org/assets/img/2016/09/28/gettyimages-610818318_wide-523b63b7049ab34e54819b2f34df920075122e4a-s900-c85.jpg,NPR,http://www.npr.org/2016/09/28/495805190/no-donald-trump-didnt-win-post-debate-polls,1,30507b5e581bba32
544,donald_trump,544,544_donald_trump.jpg,http://static.politifact.com.s3.amazonaws.com/politifact/photos/Trump_clapping_in_NC.jpg,PolitiFac,http://www.politifact.com/truth-o-meter/statements/2016/sep/22/donald-trump/trumps-pants-fire-claim-blacks-are-absolutely-wors/,1,729272278cbca5f8
547,donald_trump,547,547_donald_trump.jpg,https://peopledotcom.files.wordpress.com/2016/08/donald-trump-c-435.jpg?w\u003d435\u0026h\u003d580,People,http://people.com/celebrity/what-donald-trump-probably-learned-from-peoples-story-about-marla-maples/,1,a44dcd4c4c581004
554,donald_trump,554,554_donald_trump.jpg,http://media.washtimes.com.s3.amazonaws.com/media/image/2016/09/27/DonaldTrump.jpg,Washington Time,http://www.washingtontimes.com/specials/trump-central/,1,52334a5c5367e5a5
558,donald_trump,558,558_donald_trump.jpg,http://media.npr.org/assets/img/2016/10/08/gettyimages-612541326-dd3c9e75123548ace8e43b2cdfb85f1ee9a482d2-s900-c85.jpg,NPR,http://www.npr.org/2016/10/08/497181974/republicans-call-for-donald-trump-to-drop-out-trump-says-he-wont-quit,1,c7c6b395952b3f35
559,donald_trump,559,559_donald_trump.jpg,http://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2016/10/25/104048384-GettyImages-617806580.530x298.jpg?v\u003d1477424754,CNBC.com,http://www.cnbc.com/2016/10/28/donald-trump-will-win-the-election-and-is-more-popular-than-obama-in-2008-ai-system-finds.html,1,37371f373d6e2eb7
