candidate,image_file,image_url,news_source,news_source_url,image_hash,bias_rating
hillary_clinton,103_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160910191751-hillary-clinton-chris-cuomo-sotu-intv-1-00012320-large-169.jpg,CNN.com,http://www.cnn.com/2016/09/11/politics/hillary-clinton-september-11/,09090d0d89898dcc,0
hillary_clinton,104_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/beauty/2016/04/06/hillary_clinton_getty-small_trans_NvBQzQNjv4BqYWNJspVvOUVBAuV2D2wK5ji-T4priTdNmLS_IH9bcaA.jpg,The Telegraph,http://www.telegraph.co.uk/beauty/hair/the-furore-over-hillary-clintons-600-hair-shows-that-female-poli/,868b8f07078f2e2d,0
hillary_clinton,105_hillary_clinton.jpg,http://static4.businessinsider.com/image/57deefa1b0ef97f0288b63f2-480/hillary-clinton.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-terror-attack-bombing-new-york-minneapolis-2016-9,6a3a96868f9f1488,0
hillary_clinton,115_hillary_clinton.jpg,http://static3.businessinsider.com/image/575622be9105844e018c72af-480/hillary-clinton-happy.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-campaign-trolls-trump-with-3-am-tweetstorm-2016-10,33706c6c2c3c1a93,0
hillary_clinton,124_hillary_clinton.jpg,http://static2.businessinsider.com/image/58051196c52402b7248b4a67-480/hillary-clinton.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-monmouth-poll-2016-10,0e4e4ece4e4fc989,0
hillary_clinton,127_hillary_clinton.jpg,https://timedotcom.files.wordpress.com/2016/01/hillary-clinton4.jpg?w\u003d1100\u0026quality\u003d85,Time,http://time.com/4176273/hillary-clinton-tax-super-wealthy/,1f1b1b1f1f1f1707,-2
hillary_clinton,131_hillary_clinton.jpg,https://pixel.nymag.com/imgs/fashion/daily/2016/05/11/11-hillary-clinton.w710.h473.jpg,New York Magazine,http://nymag.com/thecut/2016/05/hillary-clintons-child-care-plan-is-monumental.html,0d4f0e8e2f2764d4,-2
hillary_clinton,132_hillary_clinton.jpg,https://timedotcom.files.wordpress.com/2015/07/hillary-clinton-hair-makeup.jpg?w\u003d1100\u0026quality\u003d85,Time,http://time.com/3968470/hillary-clinton-jeb-bush-donors/,60664646464cc6c2,-2
hillary_clinton,133_hillary_clinton.jpg,http://pixel.nymag.com/imgs/fashion/daily/2016/09/29/29-hillary-clinton-diet.w600.h315.2x.jpg,New York Magazine,http://nymag.com/thecut/2016/09/i-tried-hillary-clintons-diet-and-now-i-sympathize-with-her.html,9b06c6cec6a7fbfb,-2
hillary_clinton,135_hillary_clinton.jpg,https://timedotcom.files.wordpress.com/2015/11/hillary-clinton-foreign-policy-isis.jpg?quality\u003d85,Time,http://time.com/4120295/hillary-clinton-foreign-policy-isis/,050f0f0f070f6b5b,-2
hillary_clinton,142_hillary_clinton.jpg,http://pixel.nymag.com/imgs/fashion/daily/2016/10/17/17-clinton.w710.h473.jpg,New York Magazine,http://nymag.com/thecut/2016/10/letter-to-the-editor-worries-about-hillary-clintons-period.html,2b27032327273327,-2
hillary_clinton,151_hillary_clinton.jpg,http://pixel.nymag.com/imgs/daily/intelligencer/2015/04/10/10-hillary-clinton.w710.h473.jpg,New York Magazine,http://nymag.com/daily/intelligencer/2015/04/why-hillary-clinton-is-probably-going-to-win.html,0fcf4f4fcfcf9b9f,-2
hillary_clinton,157_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/27/Campaign_2016_Clinton.JPEG-77b48_c0-0-3692-2152_s885x516.jpg?6fb6e9f4f102893be1276be32a3caa6e1d50286a,Washington Time,http://www.washingtontimes.com/news/2016/sep/27/hillary-clinton-reels-in-cash-from-international-f/,7f5f5b4f4f5bd2d2,1
