candidate,image_file,image_url,news_source,news_source_url,image_hash,bias_rating,facebook_p,facebookbias_rating,facebook_int,combine_rating
hillary_clinton,194_hillary_clinton.jpg,http://i0.wp.com/www.nationalenquirer.com/wp-content/uploads/2016/08/hillary-clinton-health-illness-balance-ms-10.jpg?fit\u003d700%2C700,National Enquirer,http://www.nationalenquirer.com/photos/hillary-clinton-health-secrets-crisis-ms-stroke-claims/,24191b0533132339,999,,999.0,999,Unknown / unreliable
hillary_clinton,195_hillary_clinton.jpg,http://media.gettyimages.com/photos/democratic-presidential-nominee-hillary-clinton-gives-two-thumbs-up-picture-id584447694?s\u003d594x594,Getty Image,http://www.gettyimages.com/photos/hillary-clinton,aa8dcdcccc4dcdcf,999,,999.0,999,Unknown / unreliable
hillary_clinton,198_hillary_clinton.jpg,https://clinton.media.mit.edu/static/images/Hillary%20Clinton.png,ClintonCircle,https://clinton.media.mit.edu/clinton,f6b58f8f9f96dfcd,999,,999.0,999,Unknown / unreliable
hillary_clinton,199_hillary_clinton.jpg,http://radaronline.com/wp-content/uploads/2015/07/hillary-clinton-makeup-mistakes-bad-hair-22.jpg,Radar Online,http://radaronline.com/photos/hillary-clinton-makeup-hair-malfunctions-photos-presidential-candidate-getting-ready-daily-challenge/,cee6c3c5c5c56c4c,999,,999.0,999,Unknown / unreliable
hillary_clinton,200_hillary_clinton.jpg,https://peopledotcom.files.wordpress.com/2016/08/hillary-clinton-2-600-1.jpg?w\u003d600\u0026h\u003d600,People,http://people.com/celebrity/inside-hillary-clintons-vogue-photo-shoot-with-mario-testino/,70e4c0828082c8c0,999,,999.0,999,Unknown / unreliable
hillary_clinton,210_hillary_clinton.jpg,https://static01.nyt.com/images/2016/09/27/opinion/27northWEB/27northWEB-blog480.jpg,Taking Note - The New York Time,https://takingnote.blogs.nytimes.com/2016/09/27/the-power-of-hillary-clintons-throwback-photos/,3c301819d83cdce4,999,,999.0,999,Unknown / unreliable
hillary_clinton,212_hillary_clinton.jpg,http://cdn.yalerecord.org/wp-content/uploads/2016/10/27023450/majestic-clinton-x.jpg,The Yale Record,http://yalerecord.org/2016/10/26/the-yale-record-does-not-endorse-hillary-clinton/,2f0f8383494b17d9,999,,999.0,999,Unknown / unreliable
hillary_clinton,219_hillary_clinton.jpg,http://media.npr.org/assets/img/2016/09/10/gettyimages-601727086_wide-ee68a2fc4782ffd868f6bdd63b711931a3d2bfdf-s900-c85.jpg,NPR,http://www.npr.org/2016/09/10/493427601/hillary-clintons-basket-of-deplorables-in-full-context-of-this-ugly-campaign,878393939383a3b7,0,www.npr.org,-0.6103,-2,Unknown / unreliable
hillary_clinton,227_hillary_clinton.jpg,http://hbz.h-cdn.co/assets/16/41/480x720/hbz-hillary-clinton-1009-getty1.jpg,Harper\u0027s Bazaar,http://www.harpersbazaar.com/celebrity/red-carpet-dresses/news/g6036/hillary-clinton-campaign-fashion/,4d4d0d6fec505810,999,,999.0,999,Unknown / unreliable
hillary_clinton,237_hillary_clinton.jpg,http://media.gettyimages.com/photos/democratic-presidential-candidate-hillary-clinton-speaks-to-members-picture-id501326172?s\u003d594x594,Getty Image,http://www.gettyimages.com/photos/hillary-clinton,4c9c8e46a4372338,999,,999.0,999,Unknown / unreliable
hillary_clinton,241_hillary_clinton.jpg,http://s.marketwatch.com/public/resources/MWimages/MW-EV830_clinto_MG_20160913133738.jpg,MarketWatch,http://www.marketwatch.com/story/hillary-clinton-set-to-win-popular-vote-even-as-shes-lost-the-presidency-2016-11-09,5d1d1b59d9999998,999,,999.0,999,Unknown / unreliable
hillary_clinton,243_hillary_clinton.jpg,https://www.thesun.co.uk/wp-content/uploads/2016/09/nintchdbpict000266361712.jpg?w\u003d640\u0026strip\u003dall,The Sun,https://www.thesun.co.uk/news/1776028/teresa-barnwell-hillary-clinton-body-double/,8c0e0e0c1e756565,999,,999.0,999,Unknown / unreliable
hillary_clinton,246_hillary_clinton.jpg,https://media1.britannica.com/eb-media/93/191093-049-8BA6FEE5.jpg,Encyclopedia Britannica,https://www.britannica.com/biography/Hillary-Rodham-Clinton,57636c6d4f6bc9cc,999,,999.0,999,Unknown / unreliable
hillary_clinton,251_hillary_clinton.jpg,http://www.larslarson.com/wp-content/uploads/2016/09/Hillary_Clinton_File-585x390.jpg,Lars Larson,http://www.larslarson.com/tag/hillary-clinton/,2d1d1d59d190542c,999,,999.0,999,Unknown / unreliable
hillary_clinton,257_hillary_clinton.jpg,http://media.gettyimages.com/photos/democratic-presidential-candidate-hillary-clinton-speaks-during-a-picture-id618600764?s\u003d594x594,Getty Image,http://www.gettyimages.com/photos/hillary-clinton,333333333333296d,999,,999.0,999,Unknown / unreliable
hillary_clinton,268_hillary_clinton.jpg,http://static01.mediaite.com/med/wp-content/uploads/2016/10/clinton-e1464824215813-1-300x197.jpg,Mediaite,http://www.mediaite.com/online/hillary-clinton-privately-acknowledged-she-stepped-in-it-after-deplorables-comment/,0c07078787863733,-1,www.mediaite.com,-0.1326,0,Unknown / unreliable
hillary_clinton,269_hillary_clinton.jpg,https://pmchollywoodlife.files.wordpress.com/2016/10/hillary-clinton-third-debate-lead1.jpg?w\u003d600,Hollywood Life,http://hollywoodlife.com/2016/10/19/hillary-clinton-outfit-third-debate-white-pantsuit-pics/,ccca088c9c94b622,999,,999.0,999,Unknown / unreliable
hillary_clinton,271_hillary_clinton.jpg,https://qzprod.files.wordpress.com/2016/09/rtspkcl.jpg?quality\u003d80\u0026strip\u003dall,Quartz,https://qz.com/795906/election-2016-i-wrote-that-i-despised-hillary-clinton-today-i-want-to-publicly-take-it-back/,0d4e4e4e4c4ec686,0,qz.com,-0.4713,-1,Unknown / unreliable
hillary_clinton,276_hillary_clinton.jpg,http://img.wennermedia.com/square-400/hillary-clinton-99d8ed7b-10c5-40dc-b8b9-884af36d5a21.jpg,Us Weekly,http://www.usmagazine.com/celebrity-news/news/hillary-clinton-says-future-is-female-in-post-inauguration-video-w465444,1b9f0e0d09cac925,999,,999.0,999,Unknown / unreliable
hillary_clinton,283_hillary_clinton.jpg,http://cdn-img.instyle.com/sites/default/files/styles/276x276/public/images/2015/06/061715-hillary-clinton-pantsuits-13.jpg?itok\u003dZFUL-eq5,InStyle,http://www.instyle.com/celebrity/hillary-clintons-colorful-pantsuits,4fc7c79e9e9b171f,999,,999.0,999,Unknown / unreliable
hillary_clinton,285_hillary_clinton.jpg,https://media2.wnyc.org/i/800/0/c/80/1/clinton911_Jmrae6B.jpg,WNYC,http://www.wnyc.org/story/clinton-9-11/,9b84993bde98a1c7,999,,999.0,999,Unknown / unreliable
hillary_clinton,291_hillary_clinton.jpg,http://static01.mediaite.com/med/wp-content/uploads/2016/10/clinton-1-300x197.jpg,Mediaite,http://www.mediaite.com/election-2016/poll-huge-majority-believe-media-is-biased-in-favor-of-hillary-clinton/,4ca51d1e8ddf4d16,-1,www.mediaite.com,-0.1326,0,Unknown / unreliable
hillary_clinton,296_hillary_clinton.jpg,http://a.abcnews.com/images/Politics/161020_vod_orig_final_debate_fact_check_MIX_16x9_1600.jpg,ABC News - Go.com,http://abcnews.go.com/Politics/presidential-debate-fact-check-donald-trump-hillary-clinton/story?id\u003d42906344,0f4d4d491e9e9e96,999,,999.0,999,Unknown / unreliable
hillary_clinton,300_hillary_clinton.jpg,http://www.nationalenquirer.com/wp-content/uploads/2016/09/hillary-clinton-health-secrets-coverup-4.jpg,National Enquirer,http://www.nationalenquirer.com/photos/hillary-clinton-health-secrets-concussion-stroke-ms-claims/,192925252329890c,999,,999.0,999,Unknown / unreliable
hillary_clinton,312_hillary_clinton.jpg,https://hips.hearstapps.com/cos.h-cdn.co/assets/16/11/2560x1280/landscape-1458065075-hillary-clinton1.jpg?resize\u003d480:*,Cosmopolitan,http://www.cosmopolitan.com/politics/news/a55279/millennial-women-hillary-clinton-supporters/,171f1b1f1d5f190e,999,,999.0,999,Unknown / unreliable
hillary_clinton,316_hillary_clinton.jpg,http://www.newsobserver.com/news/politics-government/election/af51cp/picture104459191/ALTERNATES/FREE_640/HILLARY1NE092716CEL,The News \u0026 Observer,http://www.newsobserver.com/news/politics-government/election/article104434416.html,31259d6ddddfda5b,999,,999.0,999,Unknown / unreliable
hillary_clinton,317_hillary_clinton.jpg,https://pmcvariety.files.wordpress.com/2016/10/hillary-clinton-final-debate-11.jpg?w\u003d670\u0026h\u003d377\u0026crop\u003d1,Variety,http://variety.com/2016/biz/news/hillary-clinton-att-time-warner-merger-1201901796/,1b9b1a9b9b3d2d0b,999,,999.0,999,Unknown / unreliable
hillary_clinton,322_hillary_clinton.jpg,http://www.rd.com/wp-content/uploads/sites/2/2016/09/01-hillary-clinton-quotes.jpg,Reader\u0027s Dige,http://www.rd.com/culture/hillary-clinton-facts/,2d474d4f4c4d4d2f,999,,999.0,999,Unknown / unreliable
hillary_clinton,326_hillary_clinton.jpg,http://www.trbimg.com/img-5751d075/turbine/ct-hillary-clinton-foreign-policy-trump-perspec-0605-md-20160603,Chicago Tribune,http://www.chicagotribune.com/news/opinion/chapman/ct-hillary-clinton-foreign-policy-trump-perspec-0605-md-20160603-column.html,1b171616945dece4,0,www.chicagotribune.com,-0.3117,-1,Unknown / unreliable
hillary_clinton,327_hillary_clinton.jpg,http://www.charlotteobserver.com/news/politics-government/campaign-tracker-blog/9dqgv4/picture111066157/ALTERNATES/FREE_640/Hillary%20Clinton,Charlotte Observer,http://www.charlotteobserver.com/news/politics-government/campaign-tracker-blog/article111066162.html,5b58585d5c4c1c5c,999,,999.0,999,Unknown / unreliable
hillary_clinton,334_hillary_clinton.jpg,https://www.autostraddle.com/wp-content/uploads/2016/12/hillary-clinton-presidential-debate-1.jpg,Autostraddle,https://www.autostraddle.com/top-10-hillary-clinton-pantsuits-of-2016-362462/,4f1f1f5f0fafbf2e,999,,999.0,999,Unknown / unreliable
hillary_clinton,341_hillary_clinton.jpg,http://www.newstatesman.com/sites/default/files/styles/nodeimage/public/blogs_2016/09/hillary.jpg?itok\u003d39bmqpnh,New Statesman,http://www.newstatesman.com/world/north-america/2016/09/hillary-clinton-why-im-he,74e4ed6dcc6c3939,999,,999.0,999,Unknown / unreliable
hillary_clinton,342_hillary_clinton.jpg,http://www.thewrap.com/wp-content/uploads/2016/10/HillaryClinton-7.jpg,TheWrap,http://www.thewrap.com/hillary-clinton-urges-fbi-release-information/,0f1b5b1d373f1dd1,999,,999.0,999,Unknown / unreliable
hillary_clinton,344_hillary_clinton.jpg,https://peopledotcom.files.wordpress.com/2016/08/hillary-clinton-a-435-1.jpg?w\u003d435,People,http://people.com/celebrity/does-hillary-clinton-wear-a-wig-her-hairdresser-reveals-the-real-story/,212969cbcf8dc6c3,999,,999.0,999,Unknown / unreliable
hillary_clinton,346_hillary_clinton.jpg,http://cdn.newsday.com/polopoly_fs/1.12483083.1477058866!/httpImage/image.jpeg_gen/derivatives/display_600/image.jpeg,Newsday,http://www.newsday.com/opinion/editorial/hillary-clinton-should-be-our-next-president-1.12483084,636b8d8d0d0f9e96,999,,999.0,999,Unknown / unreliable
hillary_clinton,348_hillary_clinton.jpg,https://s3.amazonaws.com/media.dpn/54196_46451_hillary_clintonff.jpg,The Daily Pennsylvanian,http://www.thedp.com/article/2016/10/wellesley-penn-endorse-hillary-clinton-over-donald-trump,9999d733391a0ac7,999,,999.0,999,Unknown / unreliable
